date,keyword,name,artists,url,image
2024-05-20,?§Ìå®,Smart,LE SSERAFIM,https://open.spotify.com/track/4lR8sYGMGZPvthF2yUfo7T,https://i.scdn.co/image/ab67616d0000b273110f5426b8c149e80804912a
2024-05-20,?òÎ£®,A Day For Me,Shinae An,https://open.spotify.com/track/5bbGJRlU89huFWFR3GE42e,https://i.scdn.co/image/ab67616d0000b273fab8faec3abc23866c85d732
2024-05-20,?êÎ†§?Ä,Pastoral Morning,Heo Sang Eun,https://open.spotify.com/track/15kPAMiCh8iQOvXUgs3uLK,https://i.scdn.co/image/ab67616d0000b273abdb1b890060b4e80df9ba84
2024-05-21,?òÎ£®,PHOENIX,BURNOUT SYNDROMES,https://open.spotify.com/track/1ZGmDs16vtSI0nlxDFljFK,https://i.scdn.co/image/ab67616d0000b2733492c68445c4135f4aa27105
2024-05-21,Í≥ºÏ†ú,Dynamite,BTS,https://open.spotify.com/track/5QDLhrAOJJdNAmCTJ8xMyW,https://i.scdn.co/image/ab67616d0000b273c07d5d2fdc02ae252fcd07e5
2024-05-21,?¨Ìîî,I Miss You,SOYOU,https://open.spotify.com/track/3SfbB0Y3saMIQnNctxMVhj,https://i.scdn.co/image/ab67616d0000b273aedfaa9d801ec628715a79ed
2024-05-22,?±Í≥µ,Make A Wish (Birthday Song) - English Version,NCT U,https://open.spotify.com/track/1iPmAMVMqoT2ZromLzo305,https://i.scdn.co/image/ab67616d0000b2734525dae431a233a077d2395c
2024-05-22,?òÎ£®,YO-HO FREESTYLE,Woodie Gochild,https://open.spotify.com/track/6wyzCis1CnlObs88ttVmWw,https://i.scdn.co/image/ab67616d0000b2734fa8d464451ed316683179ac
2024-05-22,?âÎ≥µ,Glass Bead,GFRIEND,https://open.spotify.com/track/2rFRa1eJ8RqlINbJCZwdtt,https://i.scdn.co/image/ab67616d0000b27303d5d3c9a2d4360379c2c78b
2024-05-23,?úÌóò,Brave,TWICE,https://open.spotify.com/track/2peoFPokM6eYAIwLm9IQ8E,https://i.scdn.co/image/ab67616d0000b273c3040848e6ef0e132c5c8340
2024-05-23,Î∂ÑÎÖ∏,Perfect Night,LE SSERAFIM,https://open.spotify.com/track/74X2u8JMVooG2QbjRxXwR8,https://i.scdn.co/image/ab67616d0000b2735e352f6eccf8cb96d0b247cc
2024-05-23,?úÏûë,Lose You To Love Me,Selena Gomez,https://open.spotify.com/track/4l0Mvzj72xxOpRrp6h8nHi,https://i.scdn.co/image/ab67616d0000b2732abcc266597eb46f897a8666
